timestamp,type,note,velocity
2026-04-10 18:45:52.099,note_on,74,35
2026-04-10 18:45:52.592,note_off,74,0
2026-04-10 18:45:52.654,note_on,67,100
2026-04-10 18:45:53.024,note_off,67,0
2026-04-10 18:45:53.085,note_on,69,17
2026-04-10 18:45:53.332,note_off,69,0
2026-04-10 18:45:53.995,note_on,74,64
2026-04-10 18:45:54.519,note_on,67,64
2026-04-10 18:45:54.565,note_off,74,0
2026-04-10 18:45:54.764,note_on,69,100
2026-04-10 18:45:54.826,note_off,67,0
2026-04-10 18:45:55.027,note_on,71,100
2026-04-10 18:45:55.073,note_off,69,0
2026-04-10 18:45:55.288,note_on,72,76
2026-04-10 18:45:55.443,note_off,71,0
2026-04-10 18:45:55.535,note_on,74,127
2026-04-10 18:45:55.566,note_off,72,0
2026-04-10 18:45:55.967,note_on,67,127
2026-04-10 18:45:56.044,note_off,74,0
2026-04-10 18:45:56.059,note_off,67,0
2026-04-10 18:45:56.383,note_on,67,100
2026-04-10 18:45:56.475,note_off,67,0
2026-04-10 18:46:04.003,note_on,62,40
2026-04-10 18:46:04.373,note_off,62,0
2026-04-10 18:46:04.928,note_on,62,76
2026-04-10 18:46:05.437,note_off,62,0
2026-04-10 18:46:05.498,note_on,55,100
2026-04-10 18:46:05.745,note_on,57,127
2026-04-10 18:46:05.791,note_off,55,0
2026-04-10 18:46:06.007,note_on,59,127
2026-04-10 18:46:06.084,note_off,57,0
2026-04-10 18:46:06.253,note_on,60,64
2026-04-10 18:46:06.330,note_off,59,0
2026-04-10 18:46:06.530,note_on,62,127
2026-04-10 18:46:06.576,note_off,60,0
2026-04-10 18:46:07.038,note_on,55,100
2026-04-10 18:46:07.070,note_off,62,0
2026-04-10 18:46:07.162,note_off,55,0
2026-04-10 18:46:07.515,note_on,55,100
2026-04-10 18:46:08.039,note_on,64,100
2026-04-10 18:46:08.055,note_off,55,0
2026-04-10 18:46:08.502,note_off,64,0
2026-04-10 18:46:08.548,note_on,60,100
2026-04-10 18:46:08.780,note_on,62,127
2026-04-10 18:46:08.826,note_off,60,0
2026-04-10 18:46:09.042,note_on,64,100
2026-04-10 18:46:09.103,note_off,62,0
2026-04-10 18:46:09.287,note_on,65,100
2026-04-10 18:46:09.365,note_off,64,0
2026-04-10 18:46:09.550,note_on,67,76
2026-04-10 18:46:09.612,note_off,65,0
2026-04-10 18:46:11.121,note_on,55,100
2026-04-10 18:46:11.214,note_off,55,0
2026-04-10 18:46:11.337,note_off,67,0
2026-04-10 18:46:11.644,note_on,55,100
2026-04-10 18:46:12.119,note_off,55,0
